State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Region
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,21300,12200,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,200,200,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200,25900,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900,35800,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,700,500,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800,22100,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300,1600,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,700,1200,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,13500,3300,South India
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400,200,South India
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900,South India
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Tobacco,100,100,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,1635,889,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,1880,355,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),9453,10510,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,694865,249457,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Horse-gram,1762,495,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Jowar,11131,14582,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,3358,9540,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Masoor,23117,3861,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Moong(Green Gram),1546,1098,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Ragi,6215,11467,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Sesamum,8,2,South India
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Urad,4,2,South India
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Bajra,99,54,South India
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Gram,26835,9365,South India
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,21785,25358,South India
